file,sheet,rows,cols,first columns
India_Policy_Uncertainty_Data.xlsx,Old EPU and Forecast Data,135,5,"Year, Month, Old Indian EPU Index, Budget Balance Disagreement Index, CPI Disagreement Index"
Interwar_UK_EPU.xlsx,EPU,230,3,"Year, Month, EPU Index"
Migration_Fear_EPU_Data.xlsx,Sheet1,146,10,"year, quarter, uk_epu_migrant_index, uk_fear_index, germany_epu_migrant_index, germany_fear_index, usa_epu_migrant_index, usa_fear_index"
Morocco_Policy_Uncertainty_Data.xlsx,EPUdata,130,2,"Please cite the data as follow: Houari, Oussama (2025). Policy Uncertainty and Macroeconomic Dynamics: A New Index for Morocco. Bank Al-Maghrib Working Paper No. 2025-1. The data can be used freely with attribution to the author and website., Unnamed: 1"
Netherlands_Policy_Uncertainty_Data.xlsx,Blad1,222,3,"Unnamed: 0, EBO Index*, EBO-NL Index**"
Netherlands_Policy_Uncertainty_Data.xlsx,Blad2,0,0,
Netherlands_Policy_Uncertainty_Data.xlsx,Blad3,0,0,
New_Zealand_EPU_Data.xlsx,New_Zealand_EPU_JAN1997-APR2022,349,6,"YEAR, MONTH, EPU-NEWS, EPU-Scores, Unnamed: 4, Citation: Ali, S., Badshah, I., Demirer, R., Hegde, P. (2022). Economic Policy Uncertainty and Institutional Investment Returns: The Case of New Zealand. Pacific–Basin Finance Journal 74, 101797."
OPU_index_monthly.csv,-,687,2,"date, OPU_index"
Pakistan_Climate_Policy_Uncertainty_Data.xlsx,Pakistan CPU Indices,190,3,"Citation: SYED, A. A. S., WAHEED, M., and SALEH, S. (2024). MEASURING CLIMATE AND CLIMATE POLICY UNCERTAINTY FOR PAKISTAN. Pakistan Journal of Applied Economics, 34(2), 71–92., Unnamed: 1, Unnamed: 2"
Pakistan_Policy_Uncertainty_Data.xlsx,Pakistan EPU Indices,187,3,"Citation: M. A. Choudhary, F. Pasha and M. Waheed (2020), Measuring Economic Policy Uncertainty in Pakistan, MPRA Working Paper No. 100013. , Unnamed: 1, Unnamed: 2"
Russia_Policy_Uncertainty_Data.xlsx,Russian News-Based Index,393,3,"Year, Month, News-Based Policy Uncertainty Index"
Singapore_Policy_Uncertainty_Data.xlsx,Sheet1,285,3,"Year, Month, SEPU"
State_Policy_Uncertainty.xlsx,Sheet1,492,155,"year, month, EPU_NationalAK, EPU_StateAK, EPU_CompositeAK, EPU_NationalAL, EPU_StateAL, EPU_CompositeAL"
Sweden_Policy_Uncertainty_Data.xlsx,Swedish News-Based Index,606,3,"Year, Month, Swedish News-Based EPU Index"
TUI - Indices.xlsx,Note - Methodology,9,4,"Unnamed: 0, Unnamed: 1, Unnamed: 2, Unnamed: 3"
TUI - Indices.xlsx,Monthly,268,46,"Date, Global TUI - Equal Weighted, Global TUI - GDP Weighted, Argentina, Australia, Austria, Belgium, Brazil"
TUI - Indices.xlsx,Quarterly,98,46,"Quarter, Global TUI - Equal Weighted, Global TUI - GDP Weighted, Argentina, Australia, Austria, Belgium, Brazil"
TUI - Indices.xlsx,Yearly,32,46,"Yearly, Global TUI - Equal Weighted, Global TUI - GDP Weighted, Argentina, Australia, Austria, Belgium, Brazil"
UK_Daily_Policy_Data.csv,-,9380,4,"day, month, year, daily_policy_index"
UK_Historical_EPU_data.xlsx,Sheet1,1310,3,"year, month, UK Historical EPU Index"
UK_Policy_Uncertainty_Data.xlsx,11 Paper UK EPU Index,345,3,"year, month, UK_EPU_Index"
USEPUINDXD.csv,-,15221,2,"observation_date, USEPUINDXD"
USEPUINDXM.csv,-,500,2,"observation_date, USEPUINDXM"
US_Policy_Uncertainty_Data.xlsx,Main News Index,1521,3,"Year, Month, News_Based_Policy_Uncert_Index"
US_Policy_Uncertainty_Data.xlsx,Legacy Three Component EPU,501,7,"Year, Month, Three_Component_Index, News_Based_Policy_Uncert_Index, FedStateLocal_Ex_disagreement, CPI_disagreement, Tax_expiration"
cpu_base_neg_pos_all_countries_yearly.csv,-,30,21,"cit, year, CPU_US, CPU_UK, CPU_NZL, CPU_CAN, CPU_AUS, CPU_IRL"
cpu_base_pos_neg_all_countries_monthly.csv,-,360,23,"cit, year, month, monthly, CPU_US, CPU_UK, CPU_NZL, CPU_CAN"
cpu_pu.xlsx,readme,17,2,"CLIMATE POLICY UNCERTAINTY AND SENTIMENT DATASET, Unnamed: 1"
cpu_pu.xlsx,data,496,10,"date, cpu_index_narrow, cpu_index_broad, cpu_index_narrow_llm, cpu_index_gavriilidis, cpnews_index_narrow, cpnews_index_broad, cpsent_index"
epuptindex_data.xlsx,index,334,4,"Unnamed: 0, epu_pt, Unnamed: 2, Cite it as follows:"
epuptindex_data.xlsx,events,15,2,"EPU Events Timeline, Unnamed: 1"
etuindex_data.xlsx,index,683,4,"Unnamed: 0, etu_index, Unnamed: 2, Cite it as follows"
etuindex_data.xlsx,events,22,2,"Energy Transportation Events Timeline, Unnamed: 1"
