month,GPR,GPRT,GPRA,SHARE_GPR,N10
1985-01,102.17337799072266,107.57417297363281,89.64749145507812,3.0645718574523926,11584.0
1985-02,117.10202026367188,126.4427261352539,96.60166931152344,3.5123393535614014,10819.0
1985-03,124.77815246582031,127.07085418701172,116.98727416992188,3.7425758838653564,12291.0
1985-04,87.92900085449219,94.64019775390625,73.75779724121094,2.6373283863067627,12816.0
1985-05,103.26284790039062,111.15978240966797,92.27672576904297,3.0972492694854736,13851.0
1985-06,148.78282165527344,134.65670776367188,174.1437530517578,4.462568283081055,12997.0
1985-07,133.90542602539062,126.30107879638672,149.5423583984375,4.016337871551514,11752.0
1985-08,82.78410339355469,75.26383972167969,84.87953186035156,2.483013153076172,11921.0
1985-09,102.43449401855469,101.56950378417969,92.48631286621094,3.072403907775879,12596.0
1985-10,105.99191284179688,91.34220886230469,118.73129272460938,3.1791045665740967,13400.0
1985-11,94.84818267822266,98.25837707519531,80.12213897705078,2.8448612689971924,12795.0
1985-12,96.4211654663086,80.3045654296875,111.21063232421875,2.892040967941284,12690.0
1986-01,135.36074829101562,137.66831970214844,166.0226287841797,4.059988498687744,12069.0
1986-02,98.75003051757812,84.02117919921875,114.81560516357422,2.961892604827881,11074.0
1986-03,98.67667388916016,85.12946319580078,117.56116485595703,2.9596924781799316,12231.0
1986-04,148.31385803222656,142.49339294433594,182.87278747558594,4.448502063751221,12049.0
1986-05,117.38924407958984,126.68498992919922,114.20220947265625,3.520954132080078,12241.0
1986-06,96.29425048828125,106.94334411621094,80.0658187866211,2.8882343769073486,12222.0
1986-07,94.70178985595703,99.80805206298828,83.9753189086914,2.840470314025879,11653.0
1986-08,103.34593963623047,104.75926971435547,99.84519958496094,3.0997416973114014,12001.0
1986-09,117.1078872680664,106.35902404785156,126.74607849121094,3.5125153064727783,12185.0
1986-10,96.79243469238281,109.01692199707031,77.40582275390625,2.903176784515381,13158.0
1986-11,109.77281951904297,124.65135192871094,89.47162628173828,3.292508363723755,12574.0
1986-12,89.75377655029297,93.46377563476562,78.10250091552734,2.6920604705810547,12444.0
1987-01,96.94281768798828,90.4955062866211,104.48915100097656,2.9076874256134033,15545.0
1987-02,100.683349609375,109.72402954101562,89.29598236083984,3.0198802947998047,14537.0
1987-03,89.60771942138672,105.55125427246094,67.09355163574219,2.6876795291900635,16371.0
1987-04,113.39408111572266,117.12814331054688,99.12645721435547,3.4011240005493164,17259.0
1987-05,98.65091705322266,97.37140655517578,95.23518371582031,2.9589197635650635,17405.0
1987-06,94.18240356445312,99.82925415039062,81.82940673828125,2.824892044067383,16921.0
1987-07,98.87196350097656,107.52894592285156,88.26481628417969,2.965549945831299,16894.0
1987-08,99.96844482421875,115.48031616210938,87.60133361816406,2.9984376430511475,16642.0
1987-09,121.16707611083984,143.4519805908203,97.5398178100586,3.634265899658203,17335.0
1987-10,101.05858612060547,110.70101928710938,88.82691192626953,3.031135082244873,18211.0
1987-11,96.15348815917969,110.79949951171875,75.88374328613281,2.884012460708618,17545.0
1987-12,109.85638427734375,124.4972915649414,88.26872253417969,3.2950148582458496,17572.0
1988-01,83.20153045654297,87.14092254638672,72.89557647705078,2.4955334663391113,17351.0
1988-02,86.20614624023438,90.18925476074219,73.8230972290039,2.585653305053711,17133.0
1988-03,110.20651245117188,105.9420166015625,109.30101776123047,3.305516481399536,18454.0
1988-04,119.45051574707031,113.93638610839844,128.48338317871094,3.5827796459198,17305.0
1988-05,104.87347412109375,106.54883575439453,97.1541748046875,3.1455581188201904,18089.0
1988-06,79.70812225341797,74.01183319091797,81.0764389038086,2.3907527923583984,17735.0
1988-07,83.43048095703125,70.79203796386719,96.27418518066406,2.5024003982543945,16664.0
1988-08,84.05416107177734,73.71106719970703,93.28092193603516,2.5211069583892822,17056.0
1988-09,74.84265899658203,72.93437957763672,74.3477783203125,2.244818687438965,17997.0
1988-10,73.45023345947266,71.80867004394531,65.83024597167969,2.203054666519165,18202.0
1988-11,68.79841613769531,55.85908508300781,77.55838012695312,2.0635287761688232,17252.0
1988-12,90.39871978759766,82.27973937988281,94.38412475585938,2.711404800415039,17703.0
1989-01,89.24658966064453,89.09522247314453,82.81503295898438,2.6768479347229004,23311.0
1989-02,91.6185531616211,88.43746948242188,91.77456665039062,2.7479922771453857,21543.0
1989-03,87.73377227783203,79.90110778808594,93.08662414550781,2.6314728260040283,24815.0
1989-04,83.57909393310547,77.83438873291016,84.56328582763672,2.5068578720092773,23695.0
1989-05,103.82850646972656,116.75053405761719,80.26698303222656,3.114215612411499,24051.0
1989-06,89.46155548095703,97.67894744873047,68.48663330078125,2.683295488357544,23814.0
1989-07,84.75310516357422,84.32604217529297,78.8324966430664,2.5420711040496826,22462.0
1989-08,109.17729187011719,115.9572525024414,115.18624114990234,3.274646282196045,23117.0
1989-09,85.54584503173828,79.4195785522461,88.94374084472656,2.5658483505249023,23501.0
1989-10,69.52467346191406,68.15611267089844,64.53548431396484,2.0853118896484375,25272.0
1989-11,92.8287124633789,71.7497329711914,112.52256774902344,2.784289598464966,24315.0
1989-12,112.55352783203125,101.52501678466797,128.65443420410156,3.3759124279022217,24112.0
1990-01,81.5440444946289,76.01142120361328,80.72607421875,2.445819139480591,24409.0
1990-02,77.40721130371094,81.10881042480469,65.3890380859375,2.321739435195923,22397.0
1990-03,67.5919418334961,68.18672180175781,59.72285842895508,2.027341842651367,25748.0
1990-04,81.64384460449219,97.97654724121094,54.79267120361328,2.448812484741211,24420.0
1990-05,86.40711975097656,97.81657409667969,66.84378051757812,2.5916812419891357,25196.0
1990-06,79.68110656738281,72.84642028808594,80.65287780761719,2.3899424076080322,24101.0
1990-07,85.78742980957031,82.36925506591797,81.84713745117188,2.573094367980957,23668.0
1990-08,250.45108032226562,353.76312255859375,128.2501983642578,7.511989593505859,24188.0
1990-09,188.66053771972656,262.1236267089844,106.9548110961914,5.65865421295166,24087.0
1990-10,143.85256958007812,172.9463653564453,105.10758972167969,4.314691066741943,25587.0
